Lot Number,Seller Code,Title,Description,Quantity,Start Bid Each,Image_1,Sale Order
1,1234,BIDDING LIVE AT 702AUCTIONS.COM,BIDDING LIVE AT bid.702auctions.com! Click the link to bid now.,1,5,,1
2,1234,PICKUP ONLY. NO SHIPPING OFFERED,PICKUP ONLY. NO SHIPPING OFFERED.,1,5,,2
505511,1234,Propane Melting Furnace Kit with Crucible and,"This item is live on our site  702 Auctions com  To view additional images and bid on this item  CLICK THE LINK ABOVE or visit bid 702auctions com and search for lot number 505511     Description  Propane Melting Furnace Kit with Crucible and Tongs   High Capacity  2700 F Perfect for Scrap Metal Recycle Gold Silver Copper Aluminum    MSRP  133 98    Condition  NEW    Other info   Suits Novice Users Ideal for melting precious metals  such as gold  silver  and copper  this kit is great for jewelry making  casting  and other DIY projects   Perfect Melting Kit This smelting furnace kit including furnace  burner  gas hose with regulator  tongs  crucible  torch  and manual   Energy Efficient  The kit is built with insulation to prevent heat loss  reducing fuel costs and shortening melting times 1  ceramic fiber insulation blanket maintains high temperature durability in the furnace   Efficient Smelting Propane melting furnace can be heated up to 2700 F and can melt metals with a melting point below 2372 F in 15 20 Minutes such as gold  sterling silver  pure copper  and aluminum   High Capacity  Melt up to 12KG copper with this propane melting furnace kit  perfect for both home and commercial use  Keywords  6KG Propane Melting Furnace Kit with Crucible and Tongs  High Capacity  2700 F Perfect for Scrap Metal Recycle Gold Silver Copper Aluminum    CATEGORIES  Home   Kitchen Arts  Crafts   Sewing Beading   Jewelry Making Jewelry Casting Supplies Casting Machines
    Lot Number  505511",1,5,,3
